index,Country,SubRegion,latitude,longitude,total_ocas
305,Australia,Australia/NZ,-41.43513107,147.1374207,2
306,Australia,Australia/NZ,-41.42186356,147.1691437,2
307,Australia,Australia/NZ,-37.92776871,145.1188507,8
308,Australia,Australia/NZ,-37.89651108,145.137146,3
309,Australia,Australia/NZ,-37.85823822,145.1629334,8
310,Australia,Australia/NZ,-37.85606384,144.9908905,13
311,Australia,Australia/NZ,-37.83267593,144.9355469,2
312,Australia,Australia/NZ,-37.82985687,144.9196625,3
313,Australia,Australia/NZ,-37.82300949,144.91539,4
314,Australia,Australia/NZ,-37.82263184,144.9321136,4
315,Australia,Australia/NZ,-37.82238007,144.9324036,3
316,Australia,Australia/NZ,-37.82215881,144.9322052,3
317,Australia,Australia/NZ,-37.82038498,145.0080261,8
318,Australia,Australia/NZ,-37.82026672,145.0079346,4
319,Australia,Australia/NZ,-37.81957245,144.9564209,5
320,Australia,Australia/NZ,-37.81803894,144.9569702,5
321,Australia,Australia/NZ,-37.81768417,144.9568176,2
322,Australia,Australia/NZ,-37.81752396,144.9568024,1
323,Australia,Australia/NZ,-37.81699371,144.9632111,1
324,Australia,Australia/NZ,-37.8133049,144.9589844,13
325,Australia,Australia/NZ,-37.80858231,144.9693146,8
326,Australia,Australia/NZ,-37.80117416,144.9437408,1
327,Australia,Australia/NZ,-37.80113602,144.9435425,8
328,Australia,Australia/NZ,-37.79040527,144.8174744,8
329,Australia,Australia/NZ,-37.69390488,144.8718109,1
330,Australia,Australia/NZ,-35.2781105,149.1330872,1
331,Australia,Australia/NZ,-35.25183487,149.1344147,4
332,Australia,Australia/NZ,-34.96845627,138.6082306,1
333,Australia,Australia/NZ,-34.93674469,138.5742188,6
334,Australia,Australia/NZ,-34.92725754,138.5941162,2
335,Australia,Australia/NZ,-34.92723465,138.5941162,2
336,Australia,Australia/NZ,-34.92717362,138.6054382,8
337,Australia,Australia/NZ,-34.92692947,138.5892639,2
338,Australia,Australia/NZ,-34.92631531,138.5970459,8
339,Australia,Australia/NZ,-34.92607498,138.6013031,4
340,Australia,Australia/NZ,-34.92325211,138.5892181,3
341,Australia,Australia/NZ,-34.8638916,138.5678406,3
342,Australia,Australia/NZ,-33.939785,151.0629272,2
343,Australia,Australia/NZ,-33.92139053,151.1881409,4
344,Australia,Australia/NZ,-33.92138672,151.1881561,1
345,Australia,Australia/NZ,-33.92135239,151.1880798,4
346,Australia,Australia/NZ,-33.91854858,151.1890564,2
347,Australia,Australia/NZ,-33.91820526,151.1893616,48
348,Australia,Australia/NZ,-33.91497421,151.1931458,7
349,Australia,Australia/NZ,-33.91197205,151.1795654,8
350,Australia,Australia/NZ,-33.88325882,151.1828156,3
351,Australia,Australia/NZ,-33.88325119,151.1825867,9
352,Australia,Australia/NZ,-33.88323593,151.2005005,1
353,Australia,Australia/NZ,-33.88046646,151.2056732,9
354,Australia,Australia/NZ,-33.87868881,151.1987915,2
355,Australia,Australia/NZ,-33.87570572,151.197403,9
356,Australia,Australia/NZ,-33.87564087,151.1975861,2
357,Australia,Australia/NZ,-33.8754921,151.1973114,4
358,Australia,Australia/NZ,-33.86632156,151.2048798,12
359,Australia,Australia/NZ,-33.86338425,151.2086334,5
360,Australia,Australia/NZ,-33.83279419,151.0575104,3
361,Australia,Australia/NZ,-33.822258,151.1956329,13
362,Australia,Australia/NZ,-33.81615067,150.7958832,3
363,Australia,Australia/NZ,-33.79453278,151.1886749,12
364,Australia,Australia/NZ,-33.78526306,151.131485,2
365,Australia,Australia/NZ,-33.7617836,150.9092102,8
366,Australia,Australia/NZ,-33.71653366,151.2120972,6
367,Australia,Australia/NZ,-31.95702934,115.8645706,4
368,Australia,Australia/NZ,-31.95563698,115.8557129,2
369,Australia,Australia/NZ,-31.95508003,115.8594055,4
370,Australia,Australia/NZ,-31.95386505,115.8524551,3
371,Australia,Australia/NZ,-31.95383644,115.863327,10
372,Australia,Australia/NZ,-31.9536953,115.8633118,1
373,Australia,Australia/NZ,-31.95256996,115.8506851,5
374,Australia,Australia/NZ,-31.95032692,115.8540573,10
375,Australia,Australia/NZ,-31.95010757,115.854126,1
376,Australia,Australia/NZ,-31.8867836,115.944397,4
377,Australia,Australia/NZ,-31.86449432,115.8959656,6
378,Australia,Australia/NZ,-31.86440086,115.8959351,6
379,Australia,Australia/NZ,-28.77450562,114.6099548,2
380,Australia,Australia/NZ,-27.55179977,153.1287537,8
381,Australia,Australia/NZ,-27.54018211,153.0140686,6
382,Australia,Australia/NZ,-27.48405647,153.0366516,17
383,Australia,Australia/NZ,-27.47179604,153.0254059,17
384,Australia,Australia/NZ,-27.47093391,153.0234985,2
385,Australia,Australia/NZ,-27.4671917,153.0278778,2
386,Australia,Australia/NZ,-27.46635628,153.0284729,3
387,Australia,Australia/NZ,-27.46552467,153.0296478,5
388,Australia,Australia/NZ,-27.45964813,153.0309906,2
389,Australia,Australia/NZ,-27.45960426,153.0312653,7
390,Australia,Australia/NZ,-27.45942307,153.0310974,7
391,Australia,Australia/NZ,-27.45472336,153.0340271,3
392,Australia,Australia/NZ,-27.45390129,153.0332031,6
393,Australia,Australia/NZ,-12.4642868,130.8411713,2
394,Australia,Australia/NZ,-12.45554256,130.8412323,1
395,Austria,DACH,47.14057159,10.56114769,2
396,Austria,DACH,47.26506805,11.43592835,2
397,Austria,DACH,47.27067184,11.42638302,2
398,Austria,DACH,47.27236557,9.62306881,2
399,Austria,DACH,47.43980789,9.756062508,2
400,Austria,DACH,47.58479691,12.16849804,2
401,Austria,DACH,47.84378815,16.52675819,1
402,Austria,DACH,48.09382248,16.31381798,3
403,Austria,DACH,48.18372726,16.41292763,6
404,Austria,DACH,48.19429016,16.35044861,1
405,Austria,DACH,48.26386643,16.40165329,6
406,Austria,DACH,48.26991272,16.4089756,52
407,Austria,DACH,48.29336548,14.29133606,2
408,Austria,DACH,48.32304382,14.29093361,4
409,Austria,DACH,48.79753876,16.47511482,2
410,Azerbaijan,CEE,40.41316986,49.90139389,1
411,Bahamas,Latin America - Other,25.0468235,-77.32678986,4
412,Bahamas,Latin America - Other,25.06255531,-77.35115814,1
413,Bahrain,Middle East,26.15847397,50.47102737,2
414,Bahrain,Middle East,26.22033119,50.60863876,1
415,Bahrain,Middle East,26.22056961,50.57346726,1
416,Bahrain,Middle East,26.22352982,50.58759308,1
417,Bahrain,Middle East,26.22851563,50.58604813,1
418,Bahrain,Middle East,26.23467064,50.57528305,1
419,Bahrain,Middle East,26.23590851,50.54179001,1
420,Barbados,Latin America - Other,13.14012718,-59.60866928,2
421,Barbados,Latin America - Other,13.16670036,-59.54999924,3
422,Belgium,Benelux,50.4489975,4.457089424,3
423,Belgium,Benelux,50.65515137,5.527056694,3
424,Belgium,Benelux,50.83768463,4.365767956,2
425,Belgium,Benelux,50.84231567,4.356657028,10
426,Belgium,Benelux,50.85253525,4.35980463,10
427,Belgium,Benelux,50.85771942,4.412115574,2
428,Belgium,Benelux,50.87050247,4.476941586,50
429,Belize,Latin America - Other,17.24933434,-88.77457428,2
430,Belize,Latin America - Other,17.25757599,-88.75954437,1
431,Belize,Latin America - Other,17.4926548,-88.18154144,2
432,Belize,Latin America - Other,17.50507546,-88.19998169,1
433,Bermuda,Latin America - Other,32.29411697,-64.78417206,1
434,Bermuda,Latin America - Other,32.2944603,-64.78044891,1
435,Bolivia,Latin America - Other,-17.78215981,-63.17527771,2
436,Bolivia,Latin America - Other,-17.77629089,-63.16547012,5
437,Bolivia,Latin America - Other,-17.7610302,-63.20243454,1
438,Bolivia,Latin America - Other,-17.52277565,-63.16786575,4
439,Bolivia,Latin America - Other,-17.38334084,-66.15883637,4
440,Bolivia,Latin America - Other,-17.35565186,-66.15525055,2
441,Bolivia,Latin America - Other,-16.54065895,-68.08361054,1
442,Bolivia,Latin America - Other,-16.53819084,-68.08103943,3
443,Bolivia,Latin America - Other,-16.49845886,-68.16513062,5
444,Bolivia,Latin America - Other,-16.49720955,-68.13504028,4
445,Bonaire,Latin America - Other,12.1443491,-68.26554871,1
446,Bosnia and Herzegovina,CEE,43.83950043,18.31966782,2
447,Bosnia and Herzegovina,CEE,44.2028923,17.9065342,1
448,Bosnia and Herzegovina,CEE,44.53367996,18.6906395,1
449,Botswana,Africa,-24.68214798,25.89209938,2
450,Botswana,Africa,-24.66949463,25.90688896,1
451,Botswana,Africa,-24.65366364,25.90355682,1
452,Brazil,Brazil,-32.03930664,-52.09974289,1
453,Brazil,Brazil,-32.03397369,-52.09613419,5
454,Brazil,Brazil,-31.77429581,-52.34240341,2
455,Brazil,Brazil,-31.76493263,-52.42724609,1
456,Brazil,Brazil,-31.75655365,-52.3859787,1
457,Brazil,Brazil,-31.75224304,-52.31392288,1
458,Brazil,Brazil,-31.32616234,-54.10638428,1
459,Brazil,Brazil,-30.877285,-55.53923035,1
460,Brazil,Brazil,-30.84815216,-51.8108902,1
461,Brazil,Brazil,-30.33956146,-54.31695938,2
462,Brazil,Brazil,-30.19273567,-52.37649918,1
463,Brazil,Brazil,-30.19001389,-52.37126541,3
464,Brazil,Brazil,-30.0904789,-51.72882843,2
